Treatment,CouponID,ProbeDepth,PercentageAtDepth
SulfideOnly,1,0,0
SulfideOnly,1,2.2248,0.00990717
SulfideOnly,1,4.4496,0.0120087
SulfideOnly,1,6.6744,0.0183133
SulfideOnly,1,8.8992,0.0237172
SulfideOnly,1,11.124,0.0357259
SulfideOnly,1,13.3488,0.0537389
SulfideOnly,1,15.5736,0.0882639
SulfideOnly,1,17.7984,0.148758
SulfideOnly,1,20.0232,0.281304
SulfideOnly,1,22.248,0.556303
SulfideOnly,1,24.4728,1.16184
SulfideOnly,1,26.6976,2.6203
SulfideOnly,1,28.9224,5.18055
SulfideOnly,1,31.1472,9.20076
SulfideOnly,1,33.372,14.0376
SulfideOnly,1,35.5968,15.764
SulfideOnly,1,37.8216,14.4358
SulfideOnly,1,40.0464,10.8643
SulfideOnly,1,42.2712,7.64473
SulfideOnly,1,44.496,4.87973
SulfideOnly,1,46.7208,3.41647
SulfideOnly,1,48.9456,2.54284
SulfideOnly,1,51.1704,1.80626
SulfideOnly,1,53.3952,1.33762
SulfideOnly,1,55.62,1.02674
SulfideOnly,1,57.8448,0.71842
SulfideOnly,1,60.0696,0.539641
SulfideOnly,1,62.2944,0.401391
SulfideOnly,1,64.5192,0.299467
SulfideOnly,1,66.744,0.202947
SulfideOnly,1,68.9688,0.149658
SulfideOnly,1,71.1936,0.11003
SulfideOnly,1,73.4184,0.0758049
SulfideOnly,1,75.6432,0.0601936
SulfideOnly,1,77.868,0.0415801
SulfideOnly,1,80.0928,0.0330239
SulfideOnly,1,82.3176,0.0228165
SulfideOnly,1,84.5424,0.0178629
SulfideOnly,1,86.7672,0.0148608
SulfideOnly,1,88.992,0.00960696
SulfideOnly,2,0,0
SulfideOnly,2,0.512812,0.0301438
SulfideOnly,2,1.02562,0.625947
SulfideOnly,2,1.53844,2.83694
SulfideOnly,2,2.05125,5.7553
SulfideOnly,2,2.56406,6.84993
SulfideOnly,2,3.07687,6.40661
SulfideOnly,2,3.58968,6.38354
SulfideOnly,2,4.1025,7.04731
SulfideOnly,2,4.61531,9.74217
SulfideOnly,2,5.12812,14.9921
SulfideOnly,2,5.64093,11.4686
SulfideOnly,2,6.15374,5.63384
SulfideOnly,2,6.66655,3.73993
SulfideOnly,2,7.17937,2.95189
SulfideOnly,2,7.69218,2.40467
SulfideOnly,2,8.20499,2.01457
SulfideOnly,2,8.7178,1.65936
SulfideOnly,2,9.23061,1.38019
SulfideOnly,2,9.74343,1.15174
SulfideOnly,2,10.2562,0.955761
SulfideOnly,2,10.769,0.77132
SulfideOnly,2,11.2819,0.626509
SulfideOnly,2,11.7947,0.496891
SulfideOnly,2,12.3075,0.439095
SulfideOnly,2,12.8203,0.414739
SulfideOnly,2,13.3331,0.350754
SulfideOnly,2,13.8459,0.290466
SulfideOnly,2,14.3587,0.255459
SulfideOnly,2,14.8715,0.230781
SulfideOnly,2,15.3844,0.222461
SulfideOnly,2,15.8972,0.219206
SulfideOnly,2,16.41,0.217196
SulfideOnly,2,16.9228,0.220814
SulfideOnly,2,17.4356,0.231665
SulfideOnly,2,17.9484,0.23054
SulfideOnly,2,18.4612,0.218161
SulfideOnly,2,18.974,0.176241
SulfideOnly,2,19.4869,0.138139
SulfideOnly,2,19.9997,0.110568
SulfideOnly,2,20.5125,0.105624
SulfideOnly,3,0,0
SulfideOnly,3,0.607988,0.0016961
SulfideOnly,3,1.21598,0.00440985
SulfideOnly,3,1.82396,0.0100797
SulfideOnly,3,2.43195,0.00823819
SulfideOnly,3,3.03994,0.0118242
SulfideOnly,3,3.64793,0.0336796
SulfideOnly,3,4.25591,0.49589
SulfideOnly,3,4.8639,7.3899
SulfideOnly,3,5.47189,16.8448
SulfideOnly,3,6.07988,14.5558
SulfideOnly,3,6.68787,11.1852
SulfideOnly,3,7.29585,9.62879
SulfideOnly,3,7.90384,8.27569
SulfideOnly,3,8.51183,7.19741
SulfideOnly,3,9.11982,6.06146
SulfideOnly,3,9.72781,5.30874
SulfideOnly,3,10.3358,4.43205
SulfideOnly,3,10.9438,3.52236
SulfideOnly,3,11.5518,2.41078
SulfideOnly,3,12.1598,0.98771
SulfideOnly,3,12.7677,0.403962
SulfideOnly,3,13.3757,0.305588
SulfideOnly,3,13.9837,0.268129
SulfideOnly,3,14.5917,0.214871
SulfideOnly,3,15.1997,0.160499
SulfideOnly,3,15.8077,0.0911531
SulfideOnly,3,16.4157,0.0503014
SulfideOnly,3,17.0237,0.0258776
SulfideOnly,3,17.6316,0.0201593
SulfideOnly,3,18.2396,0.0184148
SulfideOnly,3,18.8476,0.0137626
SulfideOnly,3,19.4556,0.0116788
SulfideOnly,3,20.0636,0.010322
SulfideOnly,3,20.6716,0.00944968
SulfideOnly,3,21.2796,0.00702669
SulfideOnly,3,21.8876,0.00615441
SulfideOnly,3,22.4955,0.00450677
SulfideOnly,3,23.1035,0.00479753
SulfideOnly,3,23.7115,0.00392525
SulfideOnly,3,24.3195,0.00281068
SulfideOnly,4,0,0
SulfideOnly,4,0.340321,0.200864
SulfideOnly,4,0.680643,0.652996
SulfideOnly,4,1.02096,1.68662
SulfideOnly,4,1.36129,3.72132
SulfideOnly,4,1.70161,6.73283
SulfideOnly,4,2.04193,10.2419
SulfideOnly,4,2.38225,12.9625
SulfideOnly,4,2.72257,13.4227
SulfideOnly,4,3.06289,11.6105
SulfideOnly,4,3.40321,8.81398
SulfideOnly,4,3.74353,6.18048
SulfideOnly,4,4.08386,4.35773
SulfideOnly,4,4.42418,3.27582
SulfideOnly,4,4.7645,2.58695
SulfideOnly,4,5.10482,2.13407
SulfideOnly,4,5.44514,1.78505
SulfideOnly,4,5.78546,1.49325
SulfideOnly,4,6.12578,1.26529
SulfideOnly,4,6.4661,1.08969
SulfideOnly,4,6.80643,0.933558
SulfideOnly,4,7.14675,0.793568
SulfideOnly,4,7.48707,0.658977
SulfideOnly,4,7.82739,0.531574
SulfideOnly,4,8.16771,0.466026
SulfideOnly,4,8.50803,0.402353
SulfideOnly,4,8.84835,0.358029
SulfideOnly,4,9.18868,0.319473
SulfideOnly,4,9.529,0.273217
SulfideOnly,4,9.86932,0.218153
SulfideOnly,4,10.2096,0.164467
SulfideOnly,4,10.55,0.128113
SulfideOnly,4,10.8903,0.103366
SulfideOnly,4,11.2306,0.0881079
SulfideOnly,4,11.5709,0.0719411
SulfideOnly,4,11.9112,0.0636303
SulfideOnly,4,12.2516,0.0542968
SulfideOnly,4,12.5919,0.0480033
SulfideOnly,4,12.9322,0.0391812
SulfideOnly,4,13.2725,0.0356864
SulfideOnly,4,13.6129,0.033044
SulfideOnly,5,0,0
SulfideOnly,5,0.647222,0.0536538
SulfideOnly,5,1.29444,0.919693
SulfideOnly,5,1.94167,5.30481
SulfideOnly,5,2.58889,11.6966
SulfideOnly,5,3.23611,11.6481
SulfideOnly,5,3.88333,8.51896
SulfideOnly,5,4.53056,6.21895
