PackageName,OnCran,Install,GitHubUsername,Description
colorspace,TRUE,TRUE,,"Explicit control over the HCL color scheme."
ggplot2,TRUE,TRUE,,"Graphing."
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot."
grid,TRUE,TRUE,,"foundation underneath ggplot2."
gridExtra,TRUE,TRUE,,"additional functions for manipulating `grid` objects."
knitr,TRUE,TRUE,,"For reporting."
lme4,TRUE,TRUE,,"Multilevel models."
plyr,TRUE,TRUE,,"Important for most of our data manipulation."
RColorBrewer,TRUE,TRUE,,"Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/."
reshape2,TRUE,TRUE,,"Data manipulation not covered in plyr."
testit,TRUE,TRUE,,"Has the useful `assert()` function."
